###############################################
#################### K = 2 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.580966  119.2     1.87262   15.7099   
1         0.283693  13.3      0.492495  37.0297   
2         0.147413  10.3      0.213793  20.7566   
3         0.18897   12.6      0.266937  21.1855   
4         0.954066  45.2      6.0572    134.009   
5         0.92818   45.9      6.09696   132.831   

T = 1.07974s

###############################################
#################### K = 3 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.812976  162.6     3.64708   22.4297   
1         0.318096  16.3      0.543414  33.3383   
2         0.290579  18        0.476964  26.498    
3         0.25155   16        0.366804  22.9253   
4         0.82154   42.7      2.94093   68.8743   
5         0.886198  41.3      3.69374   89.4368   
6         0.842984  41.7      3.33107   79.8818   

T = 0.836282s

###############################################
#################### K = 4 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.881103  179.4     4.88752   27.2437   
1         0.366336  18.1      0.818157  45.2021   
2         0.309186  18.7      0.519818  27.7977   
3         0.273108  19.6      0.394483  20.1267   
4         0.670721  33.7      1.48447   44.0495   
5         0.669094  32.1      2.25067   70.1143   
6         0.707519  36.3      2.06829   56.9777   
7         0.733916  35.5      2.57659   72.5801   

T = 0.808052s

###############################################
#################### K = 5 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.966465  191.2     6.89919   36.0836   
1         0.363316  17.8      0.650204  36.5283   
2         0.266851  18.8      0.376273  20.0145   
3         0.278748  16.5      0.397658  24.1005   
4         0.54875   28.4      1.06594   37.533    
5         0.634206  30.8      1.37042   44.4941   
6         0.608407  29.4      1.63289   55.5405   
7         0.595821  29.3      1.25713   42.9054   
8         0.59344   30.6      1.35031   44.1276   

T = 0.657341s

###############################################
#################### K = 6 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.968112  189.2     7.34385   38.8153   
1         0.341992  17.5      0.502903  28.7373   
2         0.257006  19.8      0.353699  17.8636   
3         0.272122  18.3      0.450391  24.6115   
4         0.489079  25.3      0.943954  37.3104   
5         0.473775  24.3      0.856349  35.2407   
6         0.577006  25.9      1.29462   49.9854   
7         0.470816  24.9      0.839687  33.7224   
8         0.563288  26.1      1.35521   51.9239   
9         0.504547  24.8      1.05933   42.7149   

T = 0.776277s

###############################################
#################### K = 7 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.993447  199.2     7.92762   39.7973   
1         0.43324   20.1      0.720165  35.8291   
2         0.304946  20.5      0.535221  26.1084   
3         0.279258  19.5      0.413701  21.2155   
4         0.442857  22.3      0.900266  40.3707   
5         0.351736  19.9      0.524812  26.3725   
6         0.434344  21.5      0.800048  37.2116   
7         0.387136  22.1      0.579521  26.2227   
8         0.494051  23.2      0.992012  42.7591   
9         0.452027  22.1      0.786492  35.5879   
10        0.465655  22.7      0.82014   36.1295   

T = 0.681935s

###############################################
#################### K = 8 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.991559  194.9     7.87706   40.4159   
1         0.416425  19.6      0.684042  34.9001   
2         0.271047  20        0.378166  18.9083   
3         0.3055    21.1      0.452668  21.4535   
4         0.37578   19.8      0.615195  31.0705   
5         0.405035  17.7      0.713794  40.3273   
6         0.415279  20.8      0.772314  37.1305   
7         0.391264  19        0.85075   44.7763   
8         0.367216  17.2      0.547086  31.8073   
9         0.350313  18.4      0.532088  28.9178   
10        0.478782  19.8      0.967544  48.8658   
11        0.363851  18.4      0.609294  33.1138   

T = 0.678721s

###############################################
